trumpApprove,commonweight,birthyr,gender,race,hispanic,educ,region,age_bin,gender_bin,race_bin,educ_bin,party_id,inputstate
0,0.44896635051124,1961,2,1,2,4,3,45-64,Female,White,Some college,3,54
0,0.709237723973563,1946,1,1,2,3,4,65+,Male,White,Some college,1,53
1,0.963172276633365,1933,1,1,2,3,3,65+,Male,White,Some college,2,48
0,0.692156485011496,1951,2,1,2,5,1,65+,Female,White,College degree,1,34
0,0.562564518478851,1948,1,1,2,5,2,65+,Male,White,College degree,1,55
0,0.791029850124465,1957,1,1,2,5,4,45-64,Male,White,College degree,1,53
0,0.750617840149916,1957,1,1,2,5,2,45-64,Male,White,College degree,4,17
1,0.308568676057167,1946,1,1,2,5,3,65+,Male,White,College degree,3,37
1,1.73410595125098,1970,2,1,2,6,1,45-64,Female,White,Postgraduate,2,25
0,0.469655478694329,1963,2,1,2,5,3,45-64,Female,White,College degree,4,48
0,0.874408300254348,1959,2,1,2,3,4,45-64,Female,White,Some college,1,6
1,0.976911072675676,1988,1,1,2,6,4,30-44,Male,White,Postgraduate,1,6
1,0.943296406232655,1951,2,1,2,3,2,65+,Female,White,Some college,3,29
1,1.01967298732412,1947,1,1,2,5,4,65+,Male,White,College degree,2,53
1,0.447479653687726,1954,1,1,2,5,2,65+,Male,White,College degree,3,39
1,0.280190689812665,1942,1,6,2,5,4,65+,Male,Other,College degree,3,32
1,0.859600336628745,1947,2,1,2,6,1,65+,Female,White,Postgraduate,3,25
0,0.638084273351872,1962,2,3,NA,5,3,45-64,Female,Hispanic,College degree,1,12
0,0.564778150631281,1950,2,1,2,5,4,65+,Female,White,College degree,3,41
0,0.911493028744527,1945,1,1,2,6,1,65+,Male,White,Postgraduate,1,36
1,1.56020867500696,1968,1,1,2,5,3,45-64,Male,White,College degree,2,45
1,1.32880657480172,1955,2,1,2,4,2,65+,Female,White,Some college,3,39
1,1.69473839395252,1951,1,1,2,6,4,65+,Male,White,Postgraduate,2,16
1,0.50237304156336,1954,1,1,2,4,3,65+,Male,White,Some college,2,22
1,1.54387992385979,1958,2,4,2,5,3,45-64,Female,Asian,College degree,1,12
1,1.25708351525186,1945,2,1,2,4,2,65+,Female,White,Some college,2,29
0,0.616716761642479,1952,1,1,2,4,3,65+,Male,White,Some college,1,12
